uuid,ml,ap,dv
b663f488-f489-44ec-9d8c-3bef6a89c607,3471,6675,3565
,,,
ab2681f0-fed6-430d-a228-8a2c0c7f19c0,3482,6675,3532
,,,
296bfb5f-c570-464b-b754-a184dd012866,3507,6672,3467
,,,
0eb79fe3-37ee-4861-80d8-168623ec1587,3544,6653,3410
,,,
59b5eb55-1e28-4e75-8447-f5986cf9d952,3351,7151,5925
,,,
9155d4a2-48d3-4036-bf8a-f3d3047de42e,3351,7145,5888
,,,
58197b3e-0c36-4242-8b5b-8e11c559f52d,3351,7145,5888
,,,
eca88b23-4ec9-4184-98a0-f04ff724b03e,3351,7133,5815
,,,
4779e0e5-9ba3-4334-a7bf-ecbea2500d87,3351,7130,5797
,,,
48e0a904-7412-4b54-b919-ac1631e964da,3351,7106,5651
,,,
13da62ed-d1de-499b-a38c-215b4fc1705c,3351,7100,5615
,,,
350cd489-d53e-4294-a2b1-1e44b0e65360,3351,7100,5615
,,,
7e654b00-5dbd-401b-826a-1f5d2be2a96c,3400,6923,4767
,,,
40ffe7fb-42c1-4aa6-b3c8-6b2ab3d98271,3364,6886,4585
,,,
b082a55f-5349-4417-a2c3-7aa4a96fd044,3351,6858,4430
,,,
13bc8cdd-29fa-4d58-8659-49a4d70cbfc3,3351,6852,4395
,,,
cbcf9d33-b694-49c5-9283-db76a7f5b7a4,3351,6825,4186
,,,
b9c343e3-0218-4863-988e-d56a45d0ec04,3443,6682,3648
,,,
01d4fde3-0957-41fc-8f0f-0b33b7e90816,3351,7139,5852
,,,
a3c062a6-94e6-4a8c-9826-4cab20bfe796,4676,5423,5123
,,,
54e75d42-c336-46f2-8dba-50c72902e6f9,4652,5377,4953
,,,
52f5bc81-0d11-4f5b-ae12-071089e4027a,4561,5275,4517
,,,
06ba59e1-db5b-43a2-9c65-d24d4a1db739,4550,5275,4379
,,,
bf0bdd62-5d7a-408a-9d56-e967af8e1e1b,4550,5275,4279
,,,
95ec8c4f-440b-45ed-992e-08ff4b99513e,4540,5275,4240
,,,
a44a9829-d629-4076-bd20-5449c2d1fc0a,4526,5267,4164
,,,
554a7b55-b6f0-4ba6-837e-9c640a3713cd,4526,5258,4125
,,,
b9a765f7-6a52-4044-a23a-7a25be4b5110,4526,5241,4067
,,,
ae786e41-0acb-4d23-a059-1e711eae16e0,4526,5241,4067
,,,
171c5af4-04da-489c-b202-48b416d02043,4516,5216,3893
,,,
bf7f3f0f-b390-4bc6-b1c4-027b6c435c4c,4479,5201,3760
,,,
32d9312f-1079-45be-818d-aaf7c57a6574,4455,5201,3684
